CUS_ID,NAME,PASS,AGE,AADHAR,PHONE,DL_NUM
CUS01,abhishek,1234,22,4535,43554543,DL8584940
CUS02,Vishwas,1234,22,5.06704E+11,7349382170,DL123456
CUS03,Shivanee,shiv,22,234545345,3242545,DL5859303
CUS04,Sumukh,1234,22,5469545,546543645,DL32463432
CUS05,vineeth,12345,20,876876786,76786891,DL78687678
CUS06,Suhas,12345,21,53565767,57656745,DL123456
CUS07,Thanos,12345,222,4567876543,4.56756E+11,DL469875
CUS08,Dollvathi,abhi,24,7687899090,6.78791E+11,DL12345566
CUS09,agasthya,1234,26,466886444,3566786654,DL4566543
CUS10,venkat,1234,22,234567,12345678,DL1223344
CUS11,Kruthvik,sindhu,1,3457896544,1453656578,DL1234566
CUS12,Sindhu,1234,22,2457668,32456787654,DL1223455
CUS13,Sandhya,1234,51,134567834,123456789,DL1234567
CUS14,Venkatesh,123455,55,32457678,234567543,DL122334454
CUS15,Joey,12345,4,23456789,3426789,DL545678
CUS16,DomToretto,12345,40,123456789,7349382170,DL15272892,
CUS17,Jett,1234,21,2354354356,3254243543,DL124455
CUS18,Sova,1234,21,324352435,324454354,DL1232133
CUS19,Cypher,1234,21,234243543,123432523,DL1321332CUS20,vishwas,1234,21,8969698,7349382170,DL123456
